name,url
房产策划,/c101020100-p220101/
地产项目管理,/c101020100-p220102/
地产招投标,/c101020100-p220103/
高级建筑工程师,/c101020100-p220201/
建筑工程师,/c101020100-p220202/
建筑设计师,/c101020100-p220203/
土木/土建/结构工程师,/c101020100-p220204/
室内设计,/c101020100-p220205/
园林设计,/c101020100-p220206/
城市规划设计,/c101020100-p220207/
工程监理,/c101020100-p220208/
工程造价,/c101020100-p220209/
预结算,/c101020100-p220210/
工程资料管理,/c101020100-p220211/
建筑施工现场管理,/c101020100-p220212/
地产置业顾问,/c101020100-p220301/
地产评估,/c101020100-p220302/
地产中介,/c101020100-p220303/
物业管理,/c101020100-p220401/
物业租赁销售 ,/c101020100-p220402/
物业招商管理,/c101020100-p220403/
地产项目总监,/c101020100-p220501/
地产策划总监,/c101020100-p220502/
地产招投标总监,/c101020100-p220503/
物业总监,/c101020100-p220504/
房地产销售总监,/c101020100-p220505/
其他房地产职位,/c101020100-p220601/
企业管理咨询,/c101020100-p260101/
数据分析师,/c101020100-p260102/
财务咨询顾问,/c101020100-p260103/
IT咨询顾问,/c101020100-p260104/
人力资源顾问,/c101020100-p260105/
咨询项目管理,/c101020100-p260106/
战略咨询,/c101020100-p260107/
猎头顾问,/c101020100-p260108/
市场调研,/c101020100-p260109/
其他咨询顾问,/c101020100-p260110/
事务所律师,/c101020100-p260201/
公司法务,/c101020100-p260202/
英语翻译,/c101020100-p260301/
日语翻译,/c101020100-p260302/
韩语/朝鲜语翻译,/c101020100-p260303/
法语翻译,/c101020100-p260304/
德语翻译,/c101020100-p260305/
俄语翻译,/c101020100-p260306/
西班牙语翻译,/c101020100-p260307/
其他语种翻译,/c101020100-p260308/
咨询总监,/c101020100-p260401/
咨询经理,/c101020100-p260402/
高级翻译,/c101020100-p260403/
同声传译  ,/c101020100-p260404/
其他咨询/翻译类职位,/c101020100-p260501/
实习生,/c101020100-p270101/
管理培训生,/c101020100-p270102/
储备干部,/c101020100-p270103/
其他实习/培训/储备职位,/c101020100-p270201/
计调,/c101020100-p280101/
签证,/c101020100-p280102/
旅游顾问,/c101020100-p280103/
导游,/c101020100-p280104/
预定票务,/c101020100-p280105/
旅游产品经理,/c101020100-p280201/
旅游策划师,/c101020100-p280202/
其他旅游职位,/c101020100-p280301/
收银,/c101020100-p290101/
酒店前台,/c101020100-p290102/
客房服务员,/c101020100-p290103/
酒店经理,/c101020100-p290104/
收银,/c101020100-p290201/
服务员,/c101020100-p290202/
厨师,/c101020100-p290203/
咖啡师,/c101020100-p290204/
送餐员,/c101020100-p290205/
餐饮店长,/c101020100-p290206/
领班,/c101020100-p290207/
收银,/c101020100-p290301/
导购,/c101020100-p290302/
店员/营业员,/c101020100-p290303/
门店店长,/c101020100-p290304/
其他酒店/餐饮/零售职位,/c101020100-p290401/
厂长/工厂经理,/c101020100-p300101/
生产总监,/c101020100-p300102/
生产经理/车间主任,/c101020100-p300103/
生产组长/拉长,/c101020100-p300104/
生产员,/c101020100-p300105/
生产设备管理,/c101020100-p300106/
生产计划/物料控制,/c101020100-p300107/
生产跟单,/c101020100-p300108/
质量管理/测试,/c101020100-p300201/
可靠度工程师,/c101020100-p300202/
故障分析师,/c101020100-p300203/
认证工程师,/c101020100-p300204/
体系工程师,/c101020100-p300205/
审核员,/c101020100-p300206/
安全员,/c101020100-p300207/
机械工程师,/c101020100-p300301/
机械设计师,/c101020100-p300302/
机械设备工程师,/c101020100-p300303/
机械维修/保养,/c101020100-p300304/
机械制图,/c101020100-p300305/
机械结构工程师,/c101020100-p300306/
工业工程师,/c101020100-p300307/
工艺/制程工程师,/c101020100-p300308/
材料工程师,/c101020100-p300309/
机电工程师,/c101020100-p300310/
CNC/数控,/c101020100-p300311/
冲压工程师,/c101020100-p300312/
夹具工程师,/c101020100-p300313/
模具工程师,/c101020100-p300314/
焊接工程师,/c101020100-p300315/
注塑工程师,/c101020100-p300316/
铸造/锻造工程师,/c101020100-p300317/
化工工程师,/c101020100-p300401/
实验室技术员,/c101020100-p300402/
化学分析,/c101020100-p300403/
涂料研发,/c101020100-p300404/
化妆品研发,/c101020100-p300405/
食品/饮料研发,/c101020100-p300406/
服装设计,/c101020100-p300501/
女装设计,/c101020100-p300502/
男装设计,/c101020100-p300503/
童装设计,/c101020100-p300504/
内衣设计,/c101020100-p300505/
面料设计,/c101020100-p300506/
面料辅料开发,/c101020100-p300507/
面料辅料采购,/c101020100-p300508/
打样/制版,/c101020100-p300509/
服装/纺织/皮革跟单,/c101020100-p300510/
普工/操作工,/c101020100-p300601/
叉车,/c101020100-p300602/
铲车,/c101020100-p300603/
焊工,/c101020100-p300604/
氩弧焊工,/c101020100-p300605/
电工,/c101020100-p300606/
木工,/c101020100-p300608/
漆工,/c101020100-p300609/
车工,/c101020100-p300610/
磨工,/c101020100-p300611/
铣工,/c101020100-p300612/
钳工,/c101020100-p300613/
钻工,/c101020100-p300614/
铆工,/c101020100-p300615/
钣金,/c101020100-p300616/
抛光,/c101020100-p300617/
机修工,/c101020100-p300618/
折弯工,/c101020100-p300619/
电镀工,/c101020100-p300620/
喷塑工,/c101020100-p300621/
注塑工,/c101020100-p300622/
组装工,/c101020100-p300623/
包装工,/c101020100-p300624/
空调工,/c101020100-p300625/
电梯工,/c101020100-p300626/
锅炉工,/c101020100-p300627/
学徒工,/c101020100-p300628/
其他生产制造职位,/c101020100-p300701/
